Date,High,Low,Open,Close,Volume,Adj Close
2015-09-02,70000.0,68100.0,69200.0,69100.0,20440.0,65226.98046875
2015-09-03,69800.0,68300.0,69100.0,69100.0,17573.0,65226.98046875
2015-09-04,69400.0,66000.0,69100.0,66800.0,29905.0,63055.890625
2015-09-07,68900.0,66800.0,66800.0,68700.0,18014.0,64849.3984375
2015-09-08,68800.0,67200.0,68800.0,67700.0,10794.0,63905.44921875
2015-09-09,69000.0,67700.0,67700.0,69000.0,21720.0,65132.5859375
2015-09-10,69900.0,68000.0,68100.0,69900.0,23947.0,65982.1328125
2015-09-11,71600.0,69100.0,69100.0,71600.0,18791.0,67586.859375
2015-09-14,71400.0,68700.0,71400.0,70500.0,22553.0,66548.5078125
2015-09-15,70800.0,69600.0,70500.0,70600.0,11810.0,66642.90625
2015-09-16,71300.0,70100.0,70100.0,71100.0,23294.0,67114.875
2015-09-17,72200.0,70800.0,71900.0,71500.0,22434.0,67492.453125
2015-09-18,72800.0,71300.0,71300.0,72300.0,20528.0,68247.6171875
2015-09-21,72500.0,71400.0,72300.0,72000.0,14956.0,67964.4296875
2015-09-22,72200.0,70600.0,72200.0,70700.0,23303.0,66737.296875
2015-09-23,71200.0,70100.0,70200.0,71100.0,22070.0,67114.875
2015-09-24,71800.0,70300.0,71100.0,71800.0,24316.0,67775.6484375
2015-09-25,73500.0,71100.0,72100.0,73500.0,27740.0,69380.359375
2015-09-30,75800.0,72200.0,72500.0,75500.0,47699.0,71268.265625
2015-10-01,76000.0,74100.0,75900.0,75600.0,27267.0,71362.65625
2015-10-02,75800.0,73800.0,74800.0,74200.0,24743.0,70041.125
2015-10-05,75400.0,73900.0,74500.0,75000.0,24858.0,70796.2890625
2015-10-06,74800.0,73300.0,74500.0,73300.0,36860.0,69191.5625
2015-10-07,73600.0,72700.0,72800.0,73600.0,10294.0,69474.75
2015-10-08,73600.0,72200.0,73100.0,73300.0,25609.0,69191.5625
2015-10-12,73300.0,71000.0,72500.0,71700.0,28236.0,67681.25
2015-10-13,74000.0,71300.0,71300.0,74000.0,25572.0,69852.3359375
2015-10-14,73900.0,71600.0,73500.0,71900.0,17907.0,67870.0390625
2015-10-15,72300.0,71400.0,71400.0,72300.0,18355.0,68247.6171875
2015-10-16,73000.0,71300.0,73000.0,71300.0,25622.0,67303.671875
2015-10-19,71500.0,70200.0,71400.0,70800.0,19327.0,66831.6953125
2015-10-20,70800.0,69300.0,70800.0,69900.0,43457.0,65982.1328125
2015-10-21,70600.0,69700.0,70300.0,70100.0,17317.0,66170.921875
2015-10-22,70300.0,69200.0,70000.0,69300.0,21341.0,65415.765625
2015-10-23,70200.0,68700.0,70000.0,69000.0,35524.0,65132.5859375
2015-10-26,68900.0,67500.0,68200.0,67900.0,35928.0,64094.23828125
2015-10-27,68600.0,67600.0,68600.0,68000.0,29574.0,64188.6328125
2015-10-28,69200.0,67800.0,68100.0,69100.0,20720.0,65226.98046875
2015-10-29,69600.0,68200.0,69200.0,69100.0,25676.0,65226.98046875
2015-10-30,69200.0,68200.0,69000.0,68300.0,11080.0,64471.81640625
2015-11-02,68600.0,67300.0,67800.0,67900.0,11992.0,64094.23828125
2015-11-03,69800.0,67900.0,67900.0,69800.0,19878.0,65887.7421875
2015-11-04,70100.0,69300.0,69700.0,69500.0,10841.0,65604.5546875
2015-11-05,69300.0,67900.0,68800.0,68500.0,27652.0,64660.6015625
2015-11-06,69500.0,68200.0,68500.0,69200.0,19427.0,65321.375
2015-11-09,69600.0,68300.0,69600.0,68400.0,25332.0,64566.2109375
2015-11-10,68400.0,67200.0,68300.0,67500.0,26537.0,63716.65625
2015-11-11,68100.0,66900.0,67000.0,67500.0,10486.0,63716.65625
2015-11-12,68600.0,67500.0,67500.0,68200.0,10277.0,64377.421875
2015-11-13,68000.0,67200.0,67200.0,67800.0,8193.0,63999.84375
2015-11-16,66600.0,65100.0,66500.0,65300.0,34215.0,61639.96484375
2015-11-17,65700.0,64300.0,65100.0,65200.0,41099.0,61545.5703125
2015-11-18,65400.0,64000.0,65400.0,64300.0,23434.0,60696.015625
2015-11-19,65900.0,64200.0,64800.0,64800.0,13737.0,61167.98828125
