,Open,close,high,low,volume
2020-08-18,239000.0,229000.0,241500.0,225000.0,732801.0
2020-08-14,243000.0,237000.0,244000.0,235500.0,527180.0
2020-08-13,243000.0,242000.0,247500.0,240500.0,955607.0
2020-08-12,235500.0,241500.0,242000.0,232500.0,565000.0
2020-08-11,240000.0,237000.0,241000.0,232500.0,530433.0
2020-08-10,231500.0,238000.0,240000.0,230500.0,812761.0
2020-08-07,223500.0,229000.0,230000.0,219000.0,858608.0
2020-08-06,229000.0,220500.0,232000.0,218500.0,1057486.0
2020-08-05,227000.0,227000.0,228500.0,223500.0,631091.0
2020-08-04,219000.0,225500.0,228000.0,217000.0,776036.0
2020-08-03,221500.0,219000.0,223500.0,218500.0,418322.0
2020-07-31,220000.0,220500.0,223500.0,219500.0,730524.0
2020-07-30,216000.0,220000.0,224000.0,214500.0,733171.0
2020-07-29,213500.0,216500.0,218000.0,211500.0,420463.0
2020-07-28,209500.0,214000.0,216500.0,208500.0,418247.0
2020-07-27,207500.0,208500.0,211500.0,207500.0,284315.0
2020-07-24,209500.0,208000.0,210000.0,207500.0,285942.0
2020-07-23,214000.0,211500.0,214500.0,210000.0,378989.0
2020-07-22,215500.0,214500.0,216500.0,214000.0,310544.0
2020-07-21,216500.0,215500.0,218000.0,215500.0,305567.0
2020-07-20,217000.0,216500.0,220000.0,215000.0,261245.0
2020-07-17,218000.0,217000.0,220000.0,216500.0,202037.0
2020-07-16,217000.0,218000.0,219500.0,216000.0,243527.0
2020-07-15,219000.0,218000.0,222500.0,217000.0,301947.0
2020-07-14,215500.0,217500.0,223000.0,214500.0,375098.0
2020-07-13,216500.0,215500.0,217000.0,213000.0,221105.0
2020-07-10,217000.0,215000.0,218500.0,214000.0,283753.0
2020-07-09,219000.0,218000.0,220500.0,217000.0,260664.0
2020-07-08,218000.0,218500.0,223000.0,217500.0,374455.0
2020-07-07,227500.0,218000.0,227500.0,218000.0,452166.0
2020-07-06,221500.0,225000.0,226000.0,219000.0,281508.0
2020-07-03,225000.0,221000.0,228000.0,220500.0,283845.0
2020-07-02,224000.0,225000.0,226500.0,218500.0,447600.0
2020-07-01,214500.0,222000.0,224500.0,212500.0,872553.0
2020-06-30,208000.0,211000.0,212000.0,207000.0,346277.0
2020-06-29,204500.0,207000.0,209000.0,203000.0,314859.0
2020-06-26,204000.0,208500.0,211000.0,203000.0,308368.0
2020-06-25,205000.0,203000.0,207000.0,203000.0,249665.0
2020-06-24,206500.0,205500.0,207000.0,205000.0,217711.0
2020-06-23,207000.0,205500.0,208500.0,205000.0,290774.0
2020-06-22,205500.0,206500.0,209500.0,205000.0,238220.0
2020-06-19,207500.0,206000.0,208000.0,205000.0,243216.0
2020-06-18,205500.0,205500.0,208000.0,204000.0,260278.0
2020-06-17,207500.0,207000.0,209500.0,205000.0,342902.0
2020-06-16,204000.0,209000.0,209500.0,203500.0,351512.0
2020-06-15,208000.0,201000.0,211500.0,201000.0,421888.0
2020-06-12,208000.0,208500.0,209500.0,206000.0,461453.0
2020-06-11,218000.0,215000.0,219500.0,213000.0,450027.0
2020-06-10,221000.0,219000.0,222500.0,219000.0,255142.0
2020-06-09,223000.0,221000.0,225000.0,220000.0,208905.0
2020-06-08,225500.0,222500.0,226500.0,222500.0,248567.0
2020-06-05,225000.0,223500.0,226500.0,222000.0,309300.0
2020-06-04,232000.0,227000.0,233000.0,226000.0,350089.0
2020-06-03,226500.0,230000.0,232000.0,225500.0,366533.0
2020-06-02,224000.0,225000.0,226500.0,222000.0,328734.0
2020-06-01,217000.0,224500.0,225000.0,217000.0,424075.0
2020-05-29,211000.0,216000.0,218500.0,211000.0,466946.0
2020-05-28,210000.0,212000.0,213000.0,209500.0,277022.0
2020-05-27,212000.0,210000.0,213000.0,210000.0,301224.0
2020-05-26,211500.0,212000.0,213000.0,209500.0,225724.0
2020-05-25,210000.0,212000.0,212500.0,209000.0,170965.0
2020-05-22,214500.0,208500.0,214500.0,208000.0,241670.0
2020-05-21,214500.0,213000.0,215000.0,212500.0,230542.0
2020-05-20,209000.0,211500.0,213000.0,208500.0,246227.0
2020-05-19,208000.0,209000.0,210000.0,208000.0,243581.0
2020-05-18,205000.0,205500.0,208000.0,204500.0,239427.0
2020-05-15,206000.0,204000.0,206500.0,204000.0,304146.0
2020-05-14,206500.0,207000.0,208000.0,205000.0,265261.0
2020-05-13,210000.0,206500.0,212500.0,206000.0,297218.0
2020-05-12,205000.0,210000.0,212500.0,204500.0,319403.0
2020-05-11,207500.0,205000.0,209000.0,205000.0,229714.0
2020-05-08,208500.0,207000.0,211500.0,206000.0,251268.0
2020-05-07,205000.0,207000.0,208000.0,203500.0,262232.0
2020-05-06,208500.0,206500.0,210000.0,205000.0,301863.0
2020-05-04,207000.0,208500.0,211000.0,205500.0,311878.0
2020-04-29,213000.0,211500.0,215000.0,211500.0,285877.0
2020-04-28,212500.0,213000.0,217000.0,212500.0,230434.0
2020-04-27,209500.0,213000.0,215000.0,208500.0,239588.0
2020-04-24,211500.0,209500.0,214500.0,209000.0,290083.0
2020-04-23,214500.0,215500.0,220000.0,213000.0,320469.0
2020-04-22,206500.0,214500.0,214500.0,206000.0,446614.0
2020-04-21,203000.0,209500.0,209500.0,201500.0,507880.0
2020-04-20,200000.0,203500.0,204500.0,200000.0,340368.0
2020-04-17,197000.0,199000.0,201500.0,197000.0,279720.0
2020-04-16,190000.0,196500.0,196500.0,189500.0,400946.0
2020-04-14,192500.0,196000.0,196500.0,192000.0,270715.0
2020-04-13,194000.0,190000.0,194000.0,189500.0,240625.0
2020-04-10,193500.0,194000.0,196000.0,193000.0,195673.0
2020-04-09,197500.0,193500.0,198500.0,192000.0,379481.0
2020-04-08,192000.0,194000.0,199000.0,189000.0,536169.0
2020-04-07,193500.0,190500.0,195500.0,187500.0,365459.0
2020-04-06,184000.0,190500.0,191000.0,183500.0,417491.0
2020-04-03,182000.0,183000.0,183500.0,180000.0,385855.0
2020-04-02,176500.0,182000.0,182000.0,173000.0,458271.0
2020-04-01,177500.0,175000.0,182500.0,174000.0,549624.0
2020-03-31,178500.0,177000.0,181000.0,175500.0,993798.0
2020-03-30,173000.0,176000.0,178000.0,170000.0,386801.0
2020-03-27,179000.0,176500.0,180500.0,173000.0,524568.0
2020-03-26,173500.0,173000.0,176000.0,170500.0,680107.0
2020-03-25,174000.0,174500.0,178500.0,173000.0,690024.0
2020-03-24,167500.0,171000.0,171500.0,164500.0,417692.0
2020-03-23,166000.0,165500.0,170500.0,164000.0,341417.0
2020-03-20,175000.0,175000.0,178500.0,171000.0,403851.0
