Date,High,Low,Open,Close,Volume,Adj Close
2015-09-02,129000.0,124000.0,124000.0,125000.0,62014.0,116720.75
2015-09-03,132500.0,124000.0,125000.0,128500.0,126208.0,119988.921875
2015-09-04,129000.0,125000.0,128500.0,125500.0,49779.0,117187.6328125
2015-09-07,130500.0,123500.0,125500.0,127500.0,86209.0,119055.1640625
2015-09-08,135500.0,126500.0,130500.0,132000.0,141658.0,123257.109375
2015-09-09,133500.0,126500.0,133000.0,127500.0,144500.0,119055.1640625
2015-09-10,131000.0,125000.0,126000.0,131000.0,97788.0,122323.34375
2015-09-11,132000.0,127500.0,129000.0,130500.0,59788.0,121856.46875
2015-09-14,131000.0,126000.0,129500.0,126500.0,46358.0,118121.3984375
2015-09-15,127500.0,124500.0,127000.0,127500.0,44714.0,119055.1640625
2015-09-16,129500.0,126500.0,128000.0,128000.0,87005.0,119522.046875
2015-09-17,129500.0,120500.0,129500.0,123000.0,129961.0,114853.21875
2015-09-18,125500.0,123000.0,123000.0,124500.0,65902.0,116253.859375
2015-09-21,125500.0,123000.0,124000.0,123500.0,53184.0,115320.1015625
2015-09-22,123000.0,117500.0,121500.0,122000.0,110996.0,113919.453125
2015-09-23,121500.0,118500.0,119500.0,119000.0,43975.0,111118.15625
2015-09-24,120000.0,117500.0,119500.0,118500.0,54969.0,110651.265625
2015-09-25,119000.0,115500.0,119000.0,117000.0,72302.0,109250.6171875
2015-09-30,123500.0,114500.0,115000.0,121000.0,91241.0,112985.6875
2015-10-01,121000.0,117500.0,119500.0,117500.0,85800.0,109717.5
2015-10-02,120500.0,117000.0,117000.0,119000.0,41720.0,111118.15625
2015-10-05,123000.0,119000.0,119000.0,122000.0,47758.0,113919.453125
2015-10-06,123000.0,120000.0,121000.0,121500.0,33129.0,113452.5703125
2015-10-07,120500.0,114500.0,119500.0,115000.0,77106.0,107383.09375
2015-10-08,117000.0,110000.0,115500.0,113500.0,124520.0,105982.4453125
2015-10-12,116500.0,112000.0,112000.0,114000.0,91219.0,106449.328125
2015-10-13,116000.0,110000.0,114500.0,113000.0,90477.0,105515.5546875
2015-10-14,115000.0,112000.0,112000.0,115000.0,83748.0,107383.09375
2015-10-15,116500.0,114000.0,115000.0,116000.0,71547.0,108316.8515625
2015-10-16,115500.0,109000.0,114500.0,110500.0,123754.0,103181.140625
2015-10-19,112500.0,109000.0,110500.0,110000.0,89311.0,102714.2578125
2015-10-20,111500.0,109000.0,111000.0,110000.0,82457.0,102714.2578125
2015-10-21,112500.0,110000.0,111000.0,111500.0,81825.0,104114.90625
2015-10-22,110000.0,102000.0,109500.0,102000.0,238118.0,95244.125
2015-10-23,107000.0,104000.0,104000.0,106000.0,125786.0,98979.1953125
2015-10-26,104000.0,100500.0,102000.0,101500.0,172459.0,94777.2421875
2015-10-27,104500.0,101500.0,102000.0,104000.0,151444.0,97111.65625
2015-10-28,107000.0,102500.0,104500.0,106000.0,115919.0,98979.1953125
2015-10-29,105500.0,102500.0,104500.0,103000.0,87549.0,96177.890625
2015-10-30,107000.0,101500.0,102500.0,104000.0,194624.0,97111.65625
2015-11-02,105500.0,102500.0,104500.0,104500.0,133879.0,97578.546875
2015-11-03,109000.0,105000.0,105500.0,109000.0,189037.0,101780.4921875
2015-11-04,111000.0,107500.0,109500.0,111000.0,136752.0,103648.0234375
2015-11-05,111000.0,107500.0,110000.0,110500.0,123346.0,103181.140625
2015-11-06,110500.0,107000.0,109000.0,107000.0,83453.0,99912.9609375
2015-11-09,107500.0,103000.0,106000.0,104000.0,91994.0,97111.65625
2015-11-10,104000.0,100000.0,102500.0,101500.0,83703.0,94777.2421875
2015-11-11,105500.0,100500.0,101000.0,105000.0,107697.0,98045.4375
2015-11-12,105000.0,102500.0,104500.0,104000.0,43990.0,97111.65625
2015-11-13,104000.0,100500.0,102000.0,103000.0,43748.0,96177.890625
2015-11-16,103000.0,100500.0,101500.0,101000.0,63279.0,94310.3671875
2015-11-17,103500.0,101500.0,101500.0,102000.0,32299.0,95244.125
2015-11-18,104000.0,101500.0,102000.0,102000.0,39721.0,95244.125
2015-11-19,103500.0,101500.0,102500.0,103000.0,53522.0,96177.890625
2015-11-20,104000.0,102000.0,102500.0,102500.0,45504.0,95711.015625
2015-11-23,106000.0,102500.0,103000.0,105500.0,50596.0,98512.3125
2015-11-24,106500.0,104500.0,105500.0,105000.0,51806.0,98045.4375
2015-11-25,107500.0,104000.0,105000.0,107500.0,70586.0,100379.84375
2015-11-26,107000.0,101500.0,107000.0,104000.0,194192.0,97111.65625
2015-11-27,105000.0,103000.0,104000.0,104500.0,53661.0,97578.546875
2015-11-30,104500.0,101000.0,103000.0,101000.0,123244.0,94310.3671875
2015-12-01,105000.0,102000.0,103000.0,104000.0,66907.0,97111.65625
2015-12-02,106000.0,102500.0,104500.0,104500.0,56891.0,97578.546875
2015-12-03,105500.0,102000.0,105000.0,103000.0,63828.0,96177.890625
2015-12-04,103000.0,97800.0,101500.0,99200.0,110755.0,92629.5859375
2015-12-07,100000.0,92600.0,100000.0,93700.0,262825.0,87493.875
2015-12-08,93900.0,90900.0,93700.0,91800.0,160864.0,85719.71875
2015-12-09,92100.0,89500.0,91600.0,89500.0,124880.0,83572.0625
2015-12-10,91700.0,88200.0,89500.0,88900.0,152040.0,83011.796875
2015-12-11,91300.0,89200.0,89200.0,90100.0,116837.0,84132.3203125
2015-12-14,89900.0,87200.0,89000.0,87900.0,125032.0,82078.03125
2015-12-15,91700.0,87100.0,87100.0,91300.0,159472.0,85252.8359375
2015-12-16,91800.0,89700.0,91300.0,89900.0,104948.0,83945.5625
2015-12-17,91500.0,89800.0,90200.0,90500.0,80209.0,84505.8203125
2015-12-18,90400.0,88800.0,90400.0,89800.0,66793.0,83852.1875
2015-12-21,91200.0,88200.0,89200.0,89500.0,80956.0,83572.0625
2015-12-22,90100.0,87700.0,89400.0,88500.0,72727.0,82638.296875
2015-12-23,88500.0,87500.0,88500.0,88400.0,81176.0,82544.9140625
2015-12-24,90500.0,88100.0,88600.0,90100.0,84942.0,84132.3203125
2015-12-28,90800.0,87700.0,90800.0,88000.0,64751.0,82171.4140625
2015-12-29,90000.0,87300.0,87600.0,87500.0,82434.0,83304.34375
2015-12-30,89700.0,87700.0,88000.0,89000.0,66786.0,84732.421875
2016-01-04,88800.0,87100.0,88100.0,87100.0,59366.0,82923.53125
2016-01-05,87300.0,83100.0,86700.0,86800.0,100675.0,82637.9140625
2016-01-06,89400.0,85000.0,87700.0,88900.0,111225.0,84637.21875
2016-01-07,89600.0,87300.0,88500.0,88300.0,163975.0,84065.984375
