,Open,close,high,low,volume
2020-08-18,437000.0,419500.0,437500.0,419000.0,72797.0
2020-08-14,433500.0,429000.0,434000.0,422000.0,48893.0
2020-08-13,430500.0,429000.0,438000.0,424000.0,88524.0
2020-08-12,434000.0,432000.0,443500.0,427500.0,132334.0
2020-08-11,452000.0,450500.0,465000.0,448500.0,81894.0
2020-08-10,448000.0,450000.0,450000.0,441500.0,86497.0
2020-08-07,459000.0,454000.0,467000.0,452000.0,129264.0
2020-08-06,434500.0,450000.0,450000.0,434000.0,103885.0
2020-08-05,424000.0,427000.0,433500.0,417000.0,99434.0
2020-08-04,414000.0,410500.0,420000.0,407500.0,72806.0
2020-08-03,415000.0,413500.0,423000.0,412500.0,72486.0
2020-07-31,417500.0,414000.0,425000.0,411500.0,78207.0
2020-07-30,430500.0,421500.0,433500.0,421500.0,63530.0
2020-07-29,433500.0,433000.0,442000.0,424000.0,77581.0
2020-07-28,446000.0,433500.0,458000.0,424500.0,179845.0
2020-07-27,402500.0,430500.0,431000.0,401500.0,174593.0
2020-07-24,399500.0,395500.0,403000.0,392000.0,60595.0
2020-07-23,403500.0,403500.0,411500.0,394500.0,106159.0
2020-07-22,375500.0,398500.0,404000.0,372500.0,257220.0
2020-07-21,364000.0,369000.0,371000.0,363500.0,33128.0
2020-07-20,367000.0,363500.0,371500.0,362000.0,35690.0
2020-07-17,371000.0,368000.0,376000.0,365500.0,33778.0
2020-07-16,366000.0,364500.0,371500.0,364000.0,36953.0
2020-07-15,377500.0,369000.0,379000.0,364000.0,59663.0
2020-07-14,370500.0,376500.0,376500.0,370500.0,31622.0
2020-07-13,378000.0,375000.0,378000.0,370500.0,39119.0
2020-07-10,378000.0,373500.0,378000.0,368000.0,44186.0
2020-07-09,371000.0,378000.0,378000.0,370500.0,63986.0
2020-07-08,369000.0,370000.0,371000.0,364000.0,35707.0
2020-07-07,373000.0,366500.0,373000.0,361000.0,42621.0
2020-07-06,366000.0,370500.0,371000.0,362500.0,64100.0
2020-07-03,363000.0,364000.0,365000.0,359000.0,33955.0
2020-07-02,359000.0,360500.0,368500.0,355500.0,77713.0
2020-07-01,338500.0,353000.0,354500.0,337000.0,72220.0
2020-06-30,337000.0,335000.0,339000.0,335000.0,41684.0
2020-06-29,341000.0,334500.0,343000.0,334000.0,54631.0
2020-06-26,345500.0,346000.0,346500.0,340000.0,37475.0
2020-06-25,346000.0,343000.0,348500.0,343000.0,40235.0
2020-06-24,347000.0,351000.0,352000.0,346000.0,29762.0
2020-06-23,353500.0,346000.0,356000.0,346000.0,51247.0
2020-06-22,350500.0,349500.0,355000.0,349500.0,38142.0
2020-06-19,358500.0,355000.0,359500.0,348000.0,67338.0
2020-06-18,355500.0,355000.0,359000.0,355000.0,24470.0
2020-06-17,366000.0,359500.0,368000.0,355500.0,53775.0
2020-06-16,349500.0,366000.0,366000.0,348000.0,48490.0
2020-06-15,359000.0,342000.0,361500.0,342000.0,85127.0
2020-06-12,365500.0,366500.0,370000.0,361500.0,54542.0
2020-06-11,376500.0,373000.0,379500.0,370500.0,78466.0
2020-06-10,384000.0,380000.0,384000.0,377000.0,49028.0
2020-06-09,382500.0,378000.0,384500.0,375500.0,73783.0
2020-06-08,390500.0,382500.0,391000.0,380500.0,71723.0
2020-06-05,389000.0,386500.0,392000.0,385500.0,48740.0
2020-06-04,389000.0,393000.0,395000.0,382000.0,73250.0
2020-06-03,383000.0,388500.0,395000.0,382000.0,109127.0
2020-06-02,376500.0,379500.0,386000.0,376500.0,46737.0
2020-06-01,377500.0,378500.0,378500.0,374000.0,36615.0
2020-05-29,371500.0,378000.0,378000.0,370500.0,50282.0
2020-05-28,378000.0,374000.0,379500.0,371000.0,45676.0
2020-05-27,379000.0,380000.0,381500.0,376500.0,42874.0
2020-05-26,374000.0,382000.0,383000.0,373500.0,50070.0
2020-05-25,378500.0,372500.0,378500.0,369000.0,30691.0
2020-05-22,382000.0,374000.0,386000.0,371000.0,35120.0
2020-05-21,382500.0,381000.0,386000.0,380500.0,35875.0
2020-05-20,385500.0,386000.0,387000.0,382000.0,28213.0
2020-05-19,378000.0,385000.0,387000.0,378000.0,61730.0
2020-05-18,371000.0,374000.0,376000.0,367500.0,29442.0
2020-05-15,366500.0,368500.0,370000.0,366000.0,29722.0
2020-05-14,372000.0,369500.0,372000.0,366000.0,38598.0
2020-05-13,368000.0,372500.0,372500.0,364500.0,36742.0
2020-05-12,373000.0,369500.0,374500.0,367500.0,35759.0
2020-05-11,376000.0,372500.0,376000.0,370500.0,36810.0
2020-05-08,376000.0,374500.0,380500.0,374000.0,39783.0
2020-05-07,370500.0,373500.0,374500.0,369000.0,33136.0
2020-05-06,374500.0,371500.0,375000.0,369000.0,43037.0
2020-05-04,376000.0,368500.0,380000.0,367000.0,114221.0
2020-04-29,387000.0,386000.0,389000.0,384500.0,50073.0
2020-04-28,397500.0,386500.0,399000.0,385500.0,67373.0
2020-04-27,391500.0,395000.0,399500.0,390000.0,35950.0
2020-04-24,391500.0,390000.0,396500.0,390000.0,34271.0
2020-04-23,393000.0,392500.0,400000.0,392000.0,42363.0
2020-04-22,396000.0,395500.0,396000.0,385000.0,39150.0
2020-04-21,399500.0,396000.0,401500.0,388500.0,49721.0
2020-04-20,400000.0,399500.0,406500.0,398500.0,50695.0
2020-04-17,402000.0,404000.0,412000.0,402000.0,61886.0
2020-04-16,390000.0,412000.0,412000.0,389500.0,78432.0
2020-04-14,385000.0,390000.0,399500.0,384500.0,67588.0
2020-04-13,385500.0,382500.0,390500.0,380000.0,37402.0
2020-04-10,394000.0,385500.0,397000.0,385000.0,53149.0
2020-04-09,394000.0,390500.0,399000.0,388000.0,58937.0
2020-04-08,386500.0,386000.0,398500.0,384500.0,67128.0
2020-04-07,382500.0,386500.0,394500.0,380000.0,70064.0
2020-04-06,375000.0,374500.0,379500.0,371500.0,40665.0
2020-04-03,359000.0,371000.0,376000.0,358000.0,55214.0
2020-04-02,346000.0,365500.0,367000.0,342000.0,55880.0
2020-04-01,352000.0,345500.0,362500.0,345500.0,61131.0
2020-03-31,369000.0,356000.0,369000.0,356000.0,56848.0
2020-03-30,360500.0,360000.0,370000.0,346000.0,57957.0
2020-03-27,378000.0,361500.0,378000.0,351500.0,65147.0
2020-03-26,358500.0,360000.0,366000.0,350000.0,59655.0
2020-03-25,360000.0,358500.0,365000.0,344000.0,86495.0
2020-03-24,306000.0,337000.0,340000.0,302000.0,73129.0
2020-03-23,284000.0,295000.0,301500.0,276500.0,78311.0
2020-03-20,297500.0,295000.0,306500.0,289500.0,87185.0
2020-03-19,317000.0,293500.0,325000.0,292000.0,90482.0
2020-03-18,348500.0,317000.0,353500.0,317000.0,113397.0
2020-03-17,349500.0,353500.0,360000.0,342500.0,51935.0
2020-03-16,377000.0,362500.0,382000.0,361000.0,58656.0
2020-03-13,358500.0,374000.0,383000.0,352000.0,93055.0
2020-03-12,390000.0,379500.0,390000.0,370000.0,77744.0
2020-03-11,393500.0,384500.0,398000.0,383000.0,51264.0
2020-03-10,384000.0,393000.0,396500.0,384000.0,51889.0
2020-03-09,402500.0,392000.0,404000.0,391000.0,67829.0
2020-03-06,418000.0,409500.0,418000.0,409500.0,47685.0
2020-03-05,416000.0,418500.0,424000.0,414000.0,44991.0
2020-03-04,408500.0,413500.0,424000.0,408000.0,39740.0
2020-03-03,413500.0,408500.0,421000.0,408000.0,55143.0
2020-03-02,411500.0,410500.0,419000.0,405500.0,46993.0
2020-02-28,426000.0,414500.0,430000.0,411500.0,58215.0
2020-02-27,422500.0,428500.0,434000.0,422500.0,37011.0
2020-02-26,419000.0,427000.0,433500.0,419000.0,40463.0
2020-02-25,429000.0,427500.0,431000.0,416000.0,46681.0
2020-02-24,431000.0,426000.0,440000.0,426000.0,48775.0
2020-02-21,444500.0,440000.0,451500.0,440000.0,47327.0
2020-02-20,458000.0,448000.0,461000.0,448000.0,64515.0
2020-02-19,445500.0,461000.0,463500.0,441000.0,110265.0
2020-02-18,439500.0,437000.0,446500.0,436000.0,42204.0
2020-02-17,431500.0,443500.0,448000.0,430500.0,72789.0
2020-02-14,421000.0,430500.0,434000.0,418500.0,56123.0
2020-02-13,423000.0,422000.0,427000.0,419500.0,49622.0
2020-02-12,424000.0,423000.0,431500.0,421000.0,75998.0
2020-02-11,434000.0,431000.0,437500.0,426500.0,67241.0
2020-02-10,431000.0,437000.0,441000.0,431000.0,66292.0
2020-02-07,425000.0,433000.0,437000.0,412500.0,133505.0
2020-02-06,394000.0,420500.0,420500.0,387500.0,159287.0
2020-02-05,382500.0,387500.0,388000.0,378500.0,38180.0
2020-02-04,372000.0,382000.0,387000.0,372000.0,36541.0
2020-02-03,376500.0,376500.0,379500.0,370000.0,40315.0
2020-01-31,389000.0,380000.0,391500.0,380000.0,49497.0
2020-01-30,396500.0,389000.0,397000.0,388500.0,34811.0
2020-01-29,396000.0,396500.0,399000.0,392500.0,24577.0
