,Open,close,high,low,volume
2020-08-18,83800.0,82900.0,84300.0,81800.0,276616.0
2020-08-14,83700.0,82400.0,84900.0,82300.0,208253.0
2020-08-13,88500.0,85300.0,89000.0,83500.0,334010.0
2020-08-12,86700.0,88700.0,88700.0,84300.0,224769.0
2020-08-11,79700.0,88000.0,93300.0,79700.0,738135.0
2020-08-10,78200.0,79600.0,80000.0,77500.0,224475.0
2020-08-07,79200.0,79700.0,79900.0,78100.0,217759.0
2020-08-06,76600.0,79500.0,80200.0,76600.0,523107.0
2020-08-05,74900.0,74200.0,75600.0,73700.0,208386.0
2020-08-04,75000.0,75200.0,76300.0,74600.0,250665.0
2020-08-03,75600.0,74600.0,75800.0,74600.0,356863.0
2020-07-31,77700.0,76700.0,78800.0,76100.0,262869.0
2020-07-30,77500.0,77700.0,79700.0,77100.0,240073.0
2020-07-29,74500.0,77800.0,78100.0,74400.0,197288.0
2020-07-28,74200.0,75600.0,76700.0,74100.0,316122.0
2020-07-27,74200.0,74600.0,76000.0,74000.0,171888.0
2020-07-24,75800.0,74500.0,76700.0,73900.0,162524.0
2020-07-23,76500.0,76000.0,78000.0,75400.0,186029.0
2020-07-22,78300.0,77500.0,79600.0,77000.0,185962.0
2020-07-21,81400.0,78300.0,82700.0,78300.0,287261.0
2020-07-20,77800.0,80100.0,80600.0,76000.0,409778.0
2020-07-17,74800.0,76400.0,76900.0,73700.0,268462.0
2020-07-16,72700.0,74000.0,75200.0,72100.0,261003.0
2020-07-15,72000.0,70900.0,72500.0,70300.0,157919.0
2020-07-14,70900.0,71400.0,71600.0,70000.0,105025.0
2020-07-13,70000.0,71100.0,71400.0,70000.0,124581.0
2020-07-10,71400.0,70000.0,71600.0,70000.0,144472.0
2020-07-09,72500.0,71300.0,72900.0,71300.0,195475.0
2020-07-08,73100.0,72200.0,74100.0,72000.0,171011.0
2020-07-07,75000.0,73300.0,76100.0,73300.0,254488.0
2020-07-06,77900.0,75700.0,77900.0,75000.0,200830.0
2020-07-03,74100.0,76500.0,76500.0,74000.0,212854.0
2020-07-02,74500.0,74000.0,74900.0,73800.0,123904.0
2020-07-01,72300.0,73800.0,74600.0,72300.0,207643.0
2020-06-30,71300.0,72200.0,73900.0,71300.0,221187.0
2020-06-29,70400.0,71100.0,72900.0,70400.0,155611.0
2020-06-26,71200.0,72500.0,72500.0,70000.0,179090.0
2020-06-25,72400.0,71000.0,72800.0,71000.0,207753.0
2020-06-24,72200.0,73800.0,74600.0,72200.0,147457.0
2020-06-23,72900.0,72600.0,74900.0,72100.0,292899.0
2020-06-22,71600.0,71900.0,73900.0,71500.0,225964.0
2020-06-19,77900.0,73300.0,78000.0,72800.0,376655.0
2020-06-18,73000.0,76500.0,78000.0,72800.0,339201.0
2020-06-17,71700.0,73900.0,73900.0,71500.0,335058.0
2020-06-16,70100.0,72800.0,74200.0,70000.0,274916.0
2020-06-15,72600.0,69000.0,73200.0,69000.0,251930.0
2020-06-12,75100.0,74000.0,75900.0,72300.0,322403.0
2020-06-11,75500.0,75100.0,75700.0,73900.0,378495.0
2020-06-10,73800.0,75900.0,76200.0,73000.0,337950.0
2020-06-09,73800.0,72800.0,74600.0,72700.0,220033.0
2020-06-08,74100.0,73300.0,74400.0,73000.0,198870.0
2020-06-05,74000.0,73000.0,74200.0,71700.0,289575.0
2020-06-04,74000.0,74900.0,75400.0,73100.0,363201.0
2020-06-03,71500.0,71500.0,72000.0,69600.0,439198.0
2020-06-02,67600.0,69500.0,69600.0,66700.0,273893.0
2020-06-01,67100.0,68500.0,68900.0,67000.0,219349.0
2020-05-29,66600.0,66600.0,69700.0,66500.0,727273.0
2020-05-28,69000.0,66800.0,69100.0,66600.0,422884.0
2020-05-27,69300.0,70000.0,70300.0,67700.0,352139.0
2020-05-26,64300.0,70500.0,72000.0,63600.0,720117.0
2020-05-25,64500.0,63400.0,64500.0,62600.0,155634.0
2020-05-22,65600.0,64200.0,65700.0,63600.0,213086.0
