Date,High,Low,Open,Close,Volume,Adj Close
2015-09-02,145500.0,141500.0,142000.0,143500.0,99892.0,140700.5
2015-09-03,144500.0,141000.0,143500.0,144000.0,77304.0,141190.734375
2015-09-04,145000.0,138000.0,144000.0,140500.0,71959.0,137759.03125
2015-09-07,140500.0,132500.0,139000.0,134000.0,131777.0,131385.828125
2015-09-08,136000.0,131000.0,134500.0,133000.0,68230.0,130405.3203125
2015-09-09,139000.0,135000.0,135500.0,138500.0,85005.0,135798.046875
2015-09-10,142500.0,136500.0,138000.0,142500.0,67854.0,139720.0
2015-09-11,142500.0,139500.0,140500.0,140500.0,52930.0,137759.03125
2015-09-14,143500.0,140000.0,140000.0,143500.0,88584.0,140700.5
2015-09-15,145500.0,142500.0,142500.0,145000.0,69604.0,142171.21875
2015-09-16,145500.0,141500.0,144500.0,142000.0,109173.0,139229.765625
2015-09-17,144000.0,140000.0,143500.0,140000.0,62530.0,137268.765625
2015-09-18,142000.0,139000.0,140500.0,141000.0,57708.0,138249.265625
2015-09-21,141000.0,136500.0,140000.0,137000.0,71821.0,134327.3125
2015-09-22,138000.0,136000.0,137000.0,137000.0,71462.0,134327.3125
2015-09-23,136500.0,135000.0,135500.0,135500.0,60271.0,132856.5625
2015-09-24,137000.0,134500.0,136000.0,134500.0,45062.0,131876.0625
2015-09-25,139000.0,134000.0,136000.0,135500.0,163521.0,132856.5625
2015-09-30,136500.0,133500.0,135500.0,134000.0,114791.0,131385.828125
2015-10-01,134500.0,131500.0,134000.0,133500.0,117977.0,130895.5859375
2015-10-02,135000.0,131500.0,134500.0,132000.0,95802.0,129424.8359375
2015-10-05,141000.0,134500.0,134500.0,139000.0,183339.0,136288.296875
2015-10-06,141500.0,137000.0,141500.0,138500.0,79256.0,135798.046875
2015-10-07,138000.0,133000.0,137500.0,134000.0,104793.0,131385.828125
2015-10-08,138500.0,133500.0,135500.0,135500.0,116203.0,132856.5625
2015-10-12,138500.0,136000.0,136500.0,137000.0,105595.0,134327.3125
2015-10-13,138500.0,135000.0,138000.0,136500.0,84449.0,133837.046875
2015-10-14,137000.0,133000.0,136500.0,133500.0,73290.0,130895.5859375
