,Open,close,high,low,volume
2020-08-18,13700.0,13000.0,13750.0,12850.0,4169851.0
2020-08-14,13300.0,13700.0,13950.0,13200.0,4977332.0
2020-08-13,13450.0,13250.0,13900.0,13150.0,6314005.0
2020-08-12,13050.0,13150.0,13250.0,12800.0,2681052.0
2020-08-11,13200.0,13150.0,13350.0,12900.0,3378387.0
2020-08-10,12450.0,13150.0,13200.0,12400.0,5966549.0
2020-08-07,12650.0,12400.0,12700.0,12350.0,1510924.0
2020-08-06,12700.0,12600.0,12800.0,12500.0,2131227.0
2020-08-05,12500.0,12450.0,12500.0,12300.0,1424761.0
2020-08-04,12400.0,12500.0,12500.0,12300.0,1822439.0
2020-08-03,12650.0,12400.0,12650.0,12300.0,1518351.0
2020-07-31,12850.0,12600.0,13050.0,12600.0,1661670.0
2020-07-30,12650.0,12800.0,12850.0,12550.0,2070225.0
2020-07-29,12550.0,12550.0,12800.0,12450.0,1987733.0
2020-07-28,12400.0,12400.0,12550.0,12250.0,2331110.0
2020-07-27,12350.0,12250.0,12500.0,12150.0,1615695.0
2020-07-24,12800.0,12350.0,12950.0,12350.0,3005545.0
2020-07-23,12850.0,12750.0,12850.0,12550.0,1862511.0
2020-07-22,13150.0,12900.0,13300.0,12850.0,2733250.0
2020-07-21,12800.0,13100.0,13250.0,12700.0,3858036.0
2020-07-20,12650.0,12650.0,12650.0,12450.0,1151788.0
2020-07-17,12750.0,12600.0,12800.0,12550.0,1080943.0
2020-07-16,12750.0,12750.0,12850.0,12600.0,1438333.0
2020-07-15,12650.0,12700.0,12850.0,12500.0,2910039.0
2020-07-14,12400.0,12450.0,12450.0,12200.0,1560728.0
2020-07-13,12500.0,12450.0,12700.0,12300.0,2538507.0
2020-07-10,12300.0,12200.0,12300.0,11950.0,2029556.0
2020-07-09,12500.0,12250.0,12700.0,12200.0,2710482.0
2020-07-08,12300.0,12250.0,12600.0,12200.0,2348815.0
2020-07-07,12850.0,12200.0,13100.0,12200.0,4885103.0
2020-07-06,11750.0,12800.0,12900.0,11650.0,6978606.0
2020-07-03,11900.0,11650.0,11950.0,11600.0,1239187.0
2020-07-02,12000.0,11750.0,12000.0,11750.0,1318426.0
2020-07-01,11650.0,11750.0,11850.0,11500.0,1881701.0
2020-06-30,11450.0,11350.0,11600.0,11350.0,1360458.0
2020-06-29,11400.0,11250.0,11500.0,11200.0,1565025.0
2020-06-26,11600.0,11600.0,11700.0,11450.0,1550110.0
2020-06-25,11750.0,11500.0,11800.0,11500.0,1823799.0
2020-06-24,12150.0,12000.0,12200.0,11950.0,1971911.0
2020-06-23,11950.0,11900.0,12300.0,11800.0,3383667.0
2020-06-22,11650.0,11750.0,11800.0,11600.0,1250682.0
2020-06-19,11950.0,11750.0,12000.0,11600.0,2333360.0
2020-06-18,11850.0,11700.0,12000.0,11700.0,1549737.0
2020-06-17,11650.0,11900.0,12100.0,11550.0,2761343.0
2020-06-16,11400.0,11700.0,11750.0,11350.0,2563988.0
2020-06-15,11550.0,11000.0,11950.0,11000.0,3822273.0
2020-06-12,11550.0,11650.0,11800.0,11450.0,4066174.0
2020-06-11,12550.0,12150.0,12550.0,11900.0,5451331.0
