Date,High,Low,Open,Close,Volume,Adj Close
2015-09-02,6480.0,6350.0,6430.0,6470.0,1466271.0,5997.04345703125
2015-09-03,6710.0,6470.0,6470.0,6630.0,1947363.0,6145.34716796875
2015-09-04,6670.0,6350.0,6630.0,6390.0,1908086.0,5922.890625
2015-09-07,6550.0,6380.0,6400.0,6510.0,863415.0,6034.119140625
2015-09-08,6580.0,6360.0,6540.0,6460.0,996067.0,5987.7744140625
2015-09-09,6630.0,6500.0,6540.0,6620.0,1243553.0,6136.078125
2015-09-10,6920.0,6540.0,6560.0,6920.0,2362859.0,6414.14794921875
2015-09-11,7170.0,6840.0,6960.0,6970.0,2893038.0,6460.4931640625
2015-09-14,7180.0,6950.0,7040.0,6970.0,1886568.0,6460.4931640625
2015-09-15,7140.0,6920.0,6970.0,7110.0,1423379.0,6590.25927734375
2015-09-16,7290.0,7140.0,7180.0,7200.0,1450273.0,6673.6796875
2015-09-17,7270.0,7060.0,7270.0,7090.0,1530165.0,6571.72119140625
2015-09-18,7140.0,6880.0,7140.0,7080.0,1253708.0,6562.4521484375
2015-09-21,7040.0,6950.0,7040.0,6990.0,732024.0,6479.03173828125
2015-09-22,7210.0,6990.0,7060.0,7110.0,1267727.0,6590.25927734375
2015-09-23,7150.0,7020.0,7050.0,7060.0,1109541.0,6543.9140625
2015-09-24,7110.0,6920.0,7070.0,7050.0,952680.0,6534.64501953125
2015-09-25,7130.0,6870.0,7050.0,6950.0,931982.0,6441.955078125
2015-09-30,6980.0,6870.0,6930.0,6890.0,1159367.0,6386.3408203125
2015-10-01,7120.0,6920.0,6930.0,7010.0,1590981.0,6497.5693359375
2015-10-02,7110.0,6950.0,7010.0,6950.0,1052721.0,6441.955078125
2015-10-05,7080.0,6970.0,7030.0,7030.0,809533.0,6516.1064453125
2015-10-06,7120.0,7000.0,7080.0,7080.0,931544.0,6562.4521484375
2015-10-07,7100.0,7000.0,7060.0,7000.0,1084434.0,6488.30029296875
2015-10-08,7390.0,7010.0,7010.0,7390.0,3374377.0,6849.79150390625
2015-10-12,7490.0,7320.0,7390.0,7430.0,2311745.0,6886.86669921875
2015-10-13,7450.0,7110.0,7430.0,7240.0,2530082.0,6710.755859375
2015-10-14,7310.0,7120.0,7270.0,7280.0,1184449.0,6747.83251953125
2015-10-15,7320.0,7220.0,7280.0,7250.0,1174946.0,6720.02490234375
2015-10-16,7340.0,7100.0,7310.0,7190.0,1671306.0,6664.4111328125
2015-10-19,7250.0,7170.0,7250.0,7220.0,722451.0,6692.21826171875
2015-10-20,7450.0,7250.0,7260.0,7420.0,1861352.0,6877.59814453125
2015-10-21,7430.0,7320.0,7430.0,7330.0,1428023.0,6794.17724609375
2015-10-22,7330.0,7010.0,7330.0,7060.0,2025882.0,6543.9140625
2015-10-23,7180.0,7060.0,7140.0,7090.0,1093869.0,6571.72119140625
2015-10-26,7170.0,6960.0,7160.0,7030.0,1475004.0,6516.1064453125
2015-10-27,7120.0,6990.0,7050.0,7120.0,1161553.0,6599.5283203125
2015-10-28,7440.0,7180.0,7200.0,7330.0,2749609.0,6794.17724609375
2015-10-29,7350.0,7110.0,7350.0,7140.0,1528377.0,6618.06640625
2015-10-30,7220.0,7070.0,7140.0,7090.0,1192909.0,6571.72119140625
2015-11-02,7170.0,7020.0,7090.0,7080.0,1151800.0,6562.4521484375
2015-11-03,7170.0,6940.0,7100.0,6990.0,2072119.0,6479.03173828125
