,Open,close,high,low,volume
2020-08-18,407000.0,403000.0,421000.0,398000.0,133068.0
2020-08-14,413000.0,401000.0,417000.0,397500.0,121448.0
2020-08-13,418500.0,414000.0,425000.0,405500.0,163946.0
2020-08-12,438500.0,414500.0,451000.0,413000.0,277899.0
2020-08-11,427000.0,443500.0,443500.0,407000.0,194475.0
2020-08-10,425500.0,427000.0,431000.0,422500.0,67787.0
2020-08-07,422000.0,424000.0,428500.0,413000.0,89595.0
2020-08-06,420000.0,420000.0,428000.0,413500.0,70190.0
2020-08-05,417000.0,417500.0,419500.0,408500.0,70042.0
2020-08-04,417500.0,415000.0,420000.0,403000.0,102043.0
2020-08-03,393000.0,414000.0,414000.0,390000.0,216845.0
2020-07-31,367000.0,386000.0,390000.0,366000.0,147404.0
2020-07-30,365000.0,367000.0,371000.0,364500.0,62059.0
2020-07-29,364000.0,366000.0,368500.0,363000.0,47229.0
2020-07-28,367000.0,366500.0,369500.0,363000.0,63561.0
2020-07-27,368500.0,369500.0,375000.0,362500.0,67295.0
2020-07-24,372000.0,369000.0,375500.0,366000.0,47447.0
2020-07-23,371000.0,373000.0,381000.0,370000.0,75587.0
2020-07-22,376000.0,371000.0,376000.0,369000.0,57919.0
2020-07-21,381000.0,376500.0,383000.0,374500.0,54558.0
2020-07-20,380000.0,376000.0,382000.0,368500.0,71177.0
2020-07-17,383000.0,380000.0,388000.0,375000.0,69815.0
2020-07-16,388500.0,384000.0,393500.0,379500.0,85788.0
2020-07-15,410000.0,392500.0,410000.0,391500.0,103449.0
2020-07-14,398000.0,406000.0,414000.0,395500.0,127633.0
2020-07-13,390000.0,400000.0,400000.0,384500.0,65825.0
2020-07-10,382000.0,390000.0,399500.0,377000.0,121447.0
2020-07-09,366500.0,382000.0,384500.0,364000.0,137719.0
2020-07-08,368500.0,362000.0,368500.0,361500.0,64227.0
2020-07-07,361000.0,369000.0,370000.0,356000.0,77365.0
2020-07-06,357500.0,360500.0,363000.0,351500.0,44473.0
2020-07-03,357500.0,357000.0,360000.0,352000.0,49630.0
2020-07-02,342000.0,356500.0,356500.0,341000.0,107583.0
2020-07-01,333000.0,339000.0,344000.0,329000.0,71848.0
2020-06-30,332000.0,326000.0,333000.0,324000.0,48346.0
2020-06-29,337500.0,328500.0,337500.0,328000.0,46185.0
2020-06-26,342000.0,338000.0,342500.0,334000.0,46777.0
2020-06-25,342500.0,339500.0,345500.0,338000.0,52744.0
2020-06-24,341000.0,346000.0,346500.0,338000.0,68032.0
2020-06-23,330000.0,338000.0,341000.0,327500.0,70173.0
2020-06-22,329000.0,329000.0,332000.0,327000.0,40462.0
2020-06-19,340000.0,332000.0,340000.0,327000.0,67834.0
2020-06-18,335000.0,338000.0,340500.0,332000.0,52581.0
2020-06-17,336500.0,337000.0,342000.0,331000.0,89020.0
2020-06-16,328000.0,336500.0,340000.0,326000.0,130120.0
2020-06-15,329500.0,316500.0,342000.0,316500.0,194015.0
2020-06-12,305500.0,328500.0,333500.0,304500.0,178247.0
2020-06-11,327500.0,320000.0,333000.0,317000.0,143966.0
2020-06-10,307000.0,329500.0,329500.0,307000.0,207335.0
2020-06-09,298500.0,305500.0,308000.0,297500.0,94024.0
2020-06-08,300500.0,297500.0,301000.0,296500.0,55673.0
2020-06-05,299000.0,299000.0,300000.0,296000.0,62754.0
2020-06-04,299000.0,297500.0,300500.0,296000.0,96244.0
2020-06-03,304000.0,299500.0,306500.0,296000.0,96388.0
2020-06-02,300500.0,302000.0,307000.0,299000.0,61739.0
2020-06-01,295000.0,299000.0,302000.0,295000.0,42750.0
2020-05-29,294000.0,297000.0,299500.0,294000.0,80710.0
2020-05-28,302000.0,298000.0,303500.0,294000.0,74989.0
2020-05-27,301000.0,302000.0,308500.0,300500.0,89616.0
2020-05-26,303500.0,298500.0,304500.0,298000.0,63891.0
2020-05-25,304000.0,303000.0,304000.0,295500.0,62267.0
2020-05-22,302000.0,301500.0,302500.0,297500.0,80322.0
2020-05-21,296500.0,300000.0,302000.0,290500.0,113048.0
2020-05-20,296500.0,296000.0,305000.0,294500.0,131278.0
2020-05-19,305500.0,294500.0,306000.0,294000.0,159699.0
2020-05-18,315500.0,308000.0,322000.0,305000.0,128313.0
2020-05-15,312000.0,308500.0,322500.0,308000.0,263558.0
2020-05-14,291000.0,301000.0,301000.0,286000.0,144145.0
2020-05-13,287500.0,292000.0,293500.0,284000.0,76455.0
2020-05-12,274500.0,287500.0,288000.0,274000.0,115839.0
2020-05-11,277500.0,273500.0,280500.0,273500.0,47980.0
2020-05-08,285500.0,277000.0,289000.0,276000.0,94497.0
2020-05-07,286500.0,284500.0,293000.0,282500.0,73423.0
2020-05-06,274500.0,286500.0,287000.0,272000.0,106384.0
2020-05-04,268000.0,271000.0,275000.0,260000.0,62449.0
2020-04-29,269500.0,272500.0,274500.0,268500.0,72019.0
2020-04-28,274000.0,269500.0,276000.0,266000.0,77212.0
2020-04-27,264500.0,274000.0,276000.0,264000.0,122239.0
2020-04-24,251000.0,259000.0,270000.0,245000.0,166536.0
2020-04-23,236500.0,250000.0,252000.0,236000.0,103721.0
2020-04-22,233000.0,236000.0,236000.0,228000.0,63289.0
2020-04-21,233000.0,233500.0,235500.0,227500.0,57790.0
2020-04-20,237000.0,235500.0,239000.0,234500.0,51991.0
2020-04-17,238000.0,237000.0,241500.0,236000.0,75134.0
2020-04-16,233000.0,237000.0,240500.0,232000.0,66956.0
2020-04-14,230000.0,236000.0,237000.0,230000.0,52513.0
2020-04-13,229000.0,229000.0,237000.0,226500.0,71348.0
2020-04-10,239500.0,231500.0,239500.0,229000.0,102231.0
2020-04-09,249000.0,238500.0,249000.0,233500.0,103520.0
2020-04-08,247500.0,243500.0,250000.0,242500.0,67150.0
2020-04-07,257000.0,248000.0,257000.0,243000.0,87731.0
2020-04-06,235000.0,245500.0,249000.0,233000.0,83605.0
2020-04-03,225500.0,230500.0,232500.0,224500.0,55439.0
2020-04-02,217000.0,228000.0,229000.0,210500.0,80386.0
2020-04-01,220000.0,214000.0,234000.0,214000.0,108866.0
2020-03-31,216000.0,216000.0,225000.0,213500.0,73363.0
2020-03-30,202000.0,213500.0,214500.0,197000.0,65338.0
2020-03-27,209000.0,203500.0,209000.0,195500.0,61337.0
