,Open,close,high,low,volume
2020-08-18,36100.0,34000.0,36150.0,33700.0,1375765.0
2020-08-14,36500.0,36000.0,36800.0,35550.0,1000610.0
2020-08-13,37050.0,36100.0,37150.0,35800.0,1307133.0
2020-08-12,36450.0,36550.0,36800.0,35350.0,1568218.0
2020-08-11,35450.0,36450.0,36950.0,35250.0,4053870.0
2020-08-10,34150.0,34450.0,34500.0,33850.0,749656.0
2020-08-07,34600.0,34100.0,34900.0,34000.0,829352.0
2020-08-06,34350.0,34550.0,34900.0,34150.0,859335.0
2020-08-05,34900.0,34150.0,34950.0,33950.0,905293.0
2020-08-04,33950.0,34750.0,35650.0,33950.0,2189050.0
2020-08-03,34100.0,33700.0,34150.0,33650.0,454200.0
2020-07-31,33950.0,34300.0,34300.0,33650.0,625699.0
2020-07-30,34150.0,34000.0,34300.0,33950.0,468200.0
2020-07-29,34350.0,33900.0,34400.0,33850.0,766813.0
2020-07-28,34650.0,34300.0,34900.0,34100.0,1049335.0
2020-07-27,35600.0,34550.0,35800.0,34500.0,1001922.0
2020-07-24,34350.0,35350.0,36350.0,34350.0,1477066.0
2020-07-23,35750.0,34800.0,35850.0,34550.0,768661.0
2020-07-22,35250.0,35600.0,36200.0,35050.0,1045851.0
2020-07-21,35950.0,35300.0,36000.0,35000.0,789150.0
2020-07-20,35100.0,35700.0,35950.0,34600.0,876966.0
2020-07-17,35400.0,34950.0,35900.0,34850.0,649058.0
2020-07-16,35000.0,35350.0,35500.0,34650.0,800019.0
2020-07-15,34550.0,34700.0,35350.0,34350.0,1054420.0
2020-07-14,34100.0,34100.0,34350.0,33750.0,414415.0
2020-07-13,33800.0,34400.0,34400.0,33200.0,694731.0
2020-07-10,34150.0,33400.0,34200.0,33300.0,566847.0
2020-07-09,34600.0,34150.0,34650.0,33800.0,609351.0
2020-07-08,33950.0,34450.0,34650.0,33900.0,602335.0
2020-07-07,34750.0,33900.0,34850.0,33900.0,590782.0
2020-07-06,34900.0,34600.0,34900.0,34300.0,605968.0
2020-07-03,34400.0,34500.0,34550.0,33800.0,696058.0
2020-07-02,34050.0,33800.0,34200.0,33750.0,463762.0
2020-07-01,33300.0,33650.0,34200.0,33300.0,651093.0
2020-06-30,33000.0,33050.0,33650.0,32900.0,734421.0
2020-06-29,33000.0,32600.0,33050.0,32500.0,752755.0
2020-06-26,33850.0,33550.0,33900.0,33400.0,695187.0
2020-06-25,33800.0,33400.0,34200.0,33150.0,1486165.0
2020-06-24,35100.0,34600.0,35450.0,34600.0,1646908.0
2020-06-23,36400.0,34350.0,36500.0,34200.0,2579502.0
2020-06-22,38800.0,35800.0,41900.0,35450.0,11307283.0
2020-06-19,32650.0,33300.0,33450.0,32250.0,772709.0
2020-06-18,32600.0,32550.0,33100.0,32400.0,535154.0
2020-06-17,32550.0,33100.0,33100.0,32100.0,896465.0
2020-06-16,32100.0,33250.0,33300.0,32100.0,753850.0
2020-06-15,33500.0,31350.0,33550.0,31350.0,996594.0
2020-06-12,33650.0,33900.0,34200.0,33650.0,945605.0
2020-06-11,35500.0,35500.0,35800.0,35050.0,742484.0
2020-06-10,35350.0,35900.0,35900.0,35000.0,659808.0
2020-06-09,36400.0,35700.0,36950.0,35350.0,1076141.0
2020-06-08,37750.0,36700.0,37900.0,36600.0,780013.0
2020-06-05,36200.0,37200.0,37200.0,35850.0,769982.0
2020-06-04,37600.0,36500.0,38150.0,35750.0,1926146.0
2020-06-03,35500.0,36950.0,37350.0,35200.0,2749367.0
2020-06-02,34800.0,35050.0,35800.0,34400.0,1529691.0
2020-06-01,34050.0,34250.0,34750.0,33900.0,816395.0
2020-05-29,33350.0,34200.0,34200.0,33000.0,1313368.0
2020-05-28,35700.0,33850.0,35750.0,33250.0,1472432.0
2020-05-27,33950.0,35200.0,35300.0,33900.0,1613356.0
2020-05-26,32450.0,33750.0,34100.0,32400.0,1434923.0
2020-05-25,32700.0,32400.0,32700.0,32000.0,414953.0
2020-05-22,33300.0,32650.0,33300.0,32050.0,558579.0
2020-05-21,33450.0,33000.0,33500.0,32800.0,567215.0
2020-05-20,33150.0,33100.0,33500.0,33100.0,466112.0
2020-05-19,33100.0,33550.0,33850.0,33100.0,916828.0
2020-05-18,32600.0,32300.0,32650.0,31900.0,481239.0
2020-05-15,33000.0,32600.0,33050.0,32350.0,451229.0
2020-05-14,32800.0,32950.0,33000.0,32350.0,655871.0
2020-05-13,32500.0,33400.0,33400.0,32250.0,579619.0
2020-05-12,33900.0,33100.0,33900.0,32700.0,829805.0
2020-05-11,34800.0,33900.0,34850.0,33900.0,734721.0
2020-05-08,35050.0,35000.0,35200.0,34850.0,588710.0
2020-05-07,34900.0,34950.0,35450.0,34650.0,609269.0
2020-05-06,34600.0,34800.0,34950.0,34300.0,796292.0
2020-05-04,34700.0,33950.0,35700.0,33750.0,1334247.0
2020-04-29,34550.0,35050.0,35100.0,34200.0,1030144.0
2020-04-28,34400.0,34300.0,34650.0,33650.0,792317.0
2020-04-27,33300.0,33900.0,33900.0,33000.0,847601.0
2020-04-24,34250.0,33000.0,34500.0,32600.0,1333616.0
2020-04-23,35700.0,34750.0,35700.0,34300.0,971431.0
2020-04-22,33700.0,35300.0,35700.0,32750.0,1710358.0
2020-04-21,34750.0,34500.0,36500.0,32300.0,3336766.0
2020-04-20,33050.0,34300.0,34950.0,32750.0,1629276.0
2020-04-17,33850.0,33150.0,33850.0,33000.0,968653.0
2020-04-16,32550.0,32900.0,33650.0,31500.0,1419590.0
2020-04-14,31800.0,32250.0,32800.0,31250.0,1095785.0
2020-04-13,30650.0,30950.0,32000.0,30200.0,1095216.0
2020-04-10,30200.0,30650.0,31300.0,29550.0,1048899.0
2020-04-09,29250.0,30200.0,30200.0,28950.0,1081463.0
2020-04-08,28550.0,28650.0,29650.0,28200.0,1045667.0
2020-04-07,28950.0,28750.0,28950.0,28000.0,1048728.0
2020-04-06,27300.0,28000.0,28000.0,26900.0,1015865.0
2020-04-03,27650.0,26900.0,28250.0,26500.0,1083530.0
2020-04-02,25750.0,27450.0,27600.0,25000.0,1270336.0
2020-04-01,27100.0,25800.0,28000.0,25650.0,1102830.0
2020-03-31,26000.0,27450.0,30700.0,25900.0,2999864.0
2020-03-30,24000.0,25500.0,25750.0,23700.0,876754.0
2020-03-27,26000.0,25100.0,26350.0,24100.0,1255885.0
2020-03-26,24700.0,24800.0,25750.0,23850.0,1536069.0
2020-03-25,23250.0,24600.0,25100.0,23000.0,1902036.0
2020-03-24,20200.0,21950.0,21950.0,19850.0,1297187.0
2020-03-23,19150.0,19550.0,20300.0,19150.0,1117661.0
2020-03-20,19950.0,21200.0,21200.0,19200.0,1887135.0
2020-03-19,23600.0,19300.0,24100.0,19300.0,2750825.0
2020-03-18,26500.0,23350.0,26700.0,23350.0,1681585.0
2020-03-17,25500.0,26100.0,27350.0,25500.0,1223593.0
2020-03-16,28350.0,27050.0,29500.0,27050.0,969795.0
2020-03-13,27000.0,28250.0,29100.0,26200.0,1808030.0
2020-03-12,31400.0,29700.0,31450.0,29300.0,1435817.0
2020-03-11,32700.0,31750.0,32900.0,31700.0,638685.0
2020-03-10,32050.0,32550.0,33050.0,32050.0,890553.0
2020-03-09,34450.0,32900.0,34800.0,32750.0,1167994.0
2020-03-06,36450.0,35300.0,36550.0,35050.0,847585.0
2020-03-05,35600.0,36000.0,36600.0,35250.0,798079.0
2020-03-04,34750.0,35150.0,35500.0,34700.0,447044.0
2020-03-03,35400.0,34850.0,35700.0,34700.0,570550.0
2020-03-02,34700.0,34550.0,35300.0,34200.0,587249.0
2020-02-28,35250.0,34700.0,35650.0,34500.0,739388.0
2020-02-27,36200.0,35750.0,37200.0,35700.0,549367.0
2020-02-26,35000.0,36550.0,36900.0,34950.0,687060.0
2020-02-25,34250.0,35900.0,36050.0,34250.0,701763.0
2020-02-24,35500.0,34650.0,35850.0,34500.0,921320.0
2020-02-21,37200.0,36650.0,37250.0,36600.0,541738.0
2020-02-20,38150.0,37550.0,38300.0,37550.0,488935.0
2020-02-19,38950.0,38150.0,38950.0,37900.0,446052.0
2020-02-18,39000.0,38650.0,39050.0,38550.0,293620.0
2020-02-17,38950.0,39100.0,39350.0,38800.0,340635.0
2020-02-14,39200.0,38950.0,39400.0,38750.0,490248.0
2020-02-13,40100.0,39300.0,40400.0,39250.0,626488.0
2020-02-12,39950.0,40100.0,40200.0,39600.0,522541.0
