Date,High,Low,Open,Close,Volume,Adj Close
2015-09-02,29350.0,27050.0,27400.0,29150.0,770518.0,28799.3984375
2015-09-03,29350.0,28100.0,29150.0,28150.0,461470.0,27811.42578125
2015-09-04,28900.0,27850.0,28150.0,28250.0,277714.0,27910.22265625
2015-09-07,28600.0,27100.0,28000.0,28200.0,376684.0,27860.82421875
2015-09-08,28900.0,27700.0,28750.0,27750.0,266290.0,27416.236328125
2015-09-09,28700.0,27950.0,28200.0,28700.0,277708.0,28354.810546875
2015-09-10,30600.0,28200.0,28200.0,30200.0,580876.0,29836.76953125
2015-09-11,31550.0,29650.0,30400.0,31350.0,547762.0,30972.9375
2015-09-14,31950.0,30500.0,31750.0,31000.0,373038.0,30627.146484375
2015-09-15,31250.0,30450.0,31200.0,31000.0,216502.0,30627.146484375
2015-09-16,33200.0,31350.0,31650.0,32950.0,622986.0,32553.693359375
2015-09-17,33650.0,32500.0,33450.0,32900.0,393294.0,32504.294921875
2015-09-18,34400.0,32250.0,32900.0,34100.0,449298.0,33689.86328125
2015-09-21,34300.0,33300.0,33300.0,33850.0,391366.0,33442.8671875
2015-09-22,35600.0,33850.0,34000.0,35100.0,537064.0,34677.8359375
2015-09-23,35450.0,33750.0,35450.0,33950.0,489640.0,33541.66796875
2015-09-24,34700.0,33100.0,34100.0,33450.0,364786.0,33047.6796875
2015-09-25,34200.0,33200.0,33700.0,33900.0,177978.0,33492.26953125
2015-09-30,33700.0,32500.0,32950.0,33250.0,224544.0,32850.0859375
2015-10-01,34050.0,32750.0,33500.0,33300.0,243082.0,32899.484375
2015-10-02,33650.0,31850.0,33650.0,32200.0,384052.0,31812.71484375
2015-10-05,32750.0,31550.0,32400.0,31850.0,257914.0,31466.923828125
2015-10-06,32300.0,30850.0,32200.0,31000.0,385668.0,30627.146484375
2015-10-07,33850.0,30850.0,30850.0,33600.0,443374.0,33195.875
2015-10-08,34850.0,33100.0,33600.0,34600.0,580560.0,34183.84765625
2015-10-12,35600.0,34550.0,34850.0,35250.0,487110.0,34826.03125
2015-10-13,36200.0,34500.0,34850.0,36050.0,433522.0,35616.41015625
2015-10-14,37000.0,35550.0,35900.0,36250.0,474362.0,35814.00390625
2015-10-15,37450.0,36250.0,36250.0,37350.0,399200.0,36900.7734375
2015-10-16,37700.0,36000.0,37700.0,36300.0,273418.0,35863.40234375
2015-10-19,37900.0,36300.0,36350.0,37300.0,207262.0,36851.375
2015-10-20,37300.0,36350.0,37050.0,36700.0,140922.0,36258.58984375
2015-10-21,37650.0,36950.0,36950.0,37250.0,173488.0,36801.9765625
2015-10-22,37500.0,36750.0,37150.0,37000.0,161856.0,36554.984375
2015-10-23,38650.0,36850.0,37500.0,37050.0,367092.0,36604.3828125
2015-10-26,38500.0,35850.0,37300.0,38050.0,279390.0,37592.35546875
2015-10-27,39250.0,37600.0,37900.0,38200.0,317078.0,37740.55078125
2015-10-28,38600.0,35550.0,38600.0,36150.0,506522.0,35715.20703125
2015-10-29,37450.0,36000.0,36550.0,36900.0,227686.0,36456.18359375
2015-10-30,36750.0,35000.0,36750.0,35900.0,266776.0,35468.2109375
2015-11-02,35800.0,33850.0,35100.0,34200.0,335784.0,33788.66015625
2015-11-03,36700.0,34300.0,34300.0,36400.0,387492.0,35962.19921875
2015-11-04,37150.0,36050.0,36400.0,36550.0,180430.0,36110.39453125
2015-11-05,36550.0,35400.0,36550.0,35650.0,130638.0,35221.21875
2015-11-06,35950.0,34950.0,35000.0,35250.0,110750.0,34826.03125
2015-11-09,35100.0,33550.0,34800.0,33750.0,245574.0,33344.0703125
2015-11-10,34750.0,33150.0,33350.0,33800.0,208522.0,33393.46875
2015-11-11,34400.0,33100.0,33950.0,33700.0,109162.0,33294.671875
2015-11-12,34000.0,33000.0,34000.0,33100.0,110220.0,32701.890625
2015-11-13,33050.0,32100.0,32350.0,32650.0,92798.0,32257.302734375
2015-11-16,32200.0,31550.0,31950.0,31850.0,167766.0,31466.923828125
2015-11-17,33900.0,32200.0,32700.0,33600.0,184958.0,33195.875
2015-11-18,33550.0,32550.0,33300.0,32550.0,115866.0,32158.50390625
