날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 08월 31일,307.14,315.46,316.11,307.12,312.18M,-1.63%
2020년 08월 28일,312.24,313.86,315.95,311.06,256.41M,0.28%
2020년 08월 27일,311.38,314.46,315.17,311.37,175.57M,-0.89%
2020년 08월 26일,314.19,313.61,315.08,309.74,193.54M,0.19%
2020년 08월 25일,313.59,312.45,314.14,310.57,197.82M,1.38%
2020년 08월 24일,309.33,306.86,310.27,303.39,142.21M,1.04%
2020년 08월 21일,306.16,306.17,309.88,303.15,166.30M,1.52%
2020년 08월 20일,301.59,310.45,312.77,301.15,249.74M,-3.81%
2020년 08월 19일,313.54,315.96,316.82,313.18,159.93M,0.22%
2020년 08월 18일,312.84,319.57,321.69,311.2,247.52M,-2.00%
2020년 08월 14일,319.24,321.59,322.66,316.28,260.40M,-1.26%
2020년 08월 13일,323.33,325.84,326.22,319.66,285.74M,0.20%
2020년 08월 12일,322.68,320.31,322.68,317.3,293.14M,0.52%
2020년 08월 11일,321.02,317.63,322.64,317.56,297.60M,1.34%
2020년 08월 10일,316.77,312.75,317.84,312.08,261.18M,1.34%
2020년 08월 07일,312.57,311.99,314.11,310,299.12M,0.40%
2020년 08월 06일,311.32,307.88,312.84,307.88,254.20M,1.53%
2020년 08월 05일,306.64,303.94,306.67,302.91,210.81M,1.19%
2020년 08월 04일,303.04,302.5,304.27,301.48,219.87M,1.20%
2020년 08월 03일,299.46,299.57,300.33,297.57,179.73M,0.05%
2020년 07월 31일,299.32,303.69,304.16,298.89,201.96M,-0.84%
2020년 07월 30일,301.85,303.13,304.13,301.49,191.76M,0.20%
2020년 07월 29일,301.25,300.57,303.51,299.61,264.44M,0.37%
2020년 07월 28일,300.13,296.53,301.34,296.38,301.28M,2.26%
2020년 07월 27일,293.51,291.03,295.26,290.82,193.24M,0.98%
2020년 07월 24일,290.66,289.84,292.74,289.42,216.21M,-0.58%
2020년 07월 23일,292.37,293.62,293.62,290.49,250.98M,-0.57%
2020년 07월 22일,294.04,294.71,296.14,293.39,327.32M,-0.38%
2020년 07월 21일,295.16,294.03,296.11,293.2,366.99M,1.50%
2020년 07월 20일,290.81,292.76,292.76,289.01,161.82M,-0.26%
2020년 07월 17일,291.57,289.9,292.1,289.9,118.64M,0.80%
2020년 07월 16일,289.25,292.34,292.74,288.46,129.45M,-1.03%
2020년 07월 15일,292.27,292.94,294.42,290.89,168.35M,0.91%
2020년 07월 14일,289.63,288.42,289.63,286.89,126.30M,-0.07%
2020년 07월 13일,289.84,287.92,290.49,286.86,127.05M,1.68%
2020년 07월 10일,285.06,287.87,288.09,283.51,136.77M,-0.76%
2020년 07월 09일,287.25,287.8,289.41,287.08,140.61M,0.45%
2020년 07월 08일,285.97,287.2,288.41,285.18,119.45M,-0.28%
2020년 07월 07일,286.77,292.74,292.98,286.76,156.13M,-1.32%
2020년 07월 06일,290.62,286.84,291.14,286.31,128.12M,1.65%
2020년 07월 03일,285.89,285.59,286.09,283.36,100.22M,0.72%
2020년 07월 02일,283.86,281.3,283.89,280.71,111.37M,1.28%
2020년 07월 01일,280.26,283.1,283.84,279.44,133.80M,0.06%
2020년 06월 30일,280.09,282.55,283.98,280.09,179.50M,0.74%
2020년 06월 29일,278.04,279.36,281.77,277.06,137.76M,-1.88%
2020년 06월 26일,283.38,283.36,284.58,280.65,169.01M,1.30%
2020년 06월 25일,279.73,282.38,284.36,279.73,152.98M,-2.43%
2020년 06월 24일,286.7,283.71,288.3,283.3,200.57M,1.69%
2020년 06월 23일,281.94,284.64,286.04,279.26,163.68M,0.18%
2020년 06월 22일,281.42,281.01,283.71,280.34,139.84M,-0.69%
2020년 06월 19일,283.37,284.56,284.7,278.53,189.13M,0.52%
2020년 06월 18일,281.91,281.74,283.39,280.02,181.59M,-0.39%
2020년 06월 17일,283.02,282.08,284.9,278.33,337.22M,0.15%
2020년 06월 16일,282.59,275.89,282.59,274,247.89M,5.46%
2020년 06월 15일,267.95,278.61,280.87,267.95,262.44M,-4.91%
2020년 06월 12일,281.78,276.97,282.54,276.05,232.83M,-2.37%
2020년 06월 11일,288.62,289.98,292.08,284.29,275.90M,-1.12%
2020년 06월 10일,291.9,291.03,292.92,289.6,229.07M,0.20%
2020년 06월 09일,291.32,293.96,294.87,287.83,268.57M,0.19%
2020년 06월 08일,290.77,295.41,295.68,289.71,286.66M,0.05%
2020년 06월 05일,290.62,286.3,291.5,284.5,282.06M,1.46%
2020년 06월 04일,286.45,291.17,292.9,284.93,364.58M,0.19%
2020년 06월 03일,285.91,279.14,287.49,278.98,476.50M,3.56%
2020년 06월 02일,276.08,272.65,276.47,272.22,251.03M,1.06%
2020년 06월 01일,273.19,269.29,273.39,268.93,171.51M,1.81%
2020년 05월 29일,268.32,266.62,269.61,265.23,269.47M,0.01%
2020년 05월 28일,268.29,270.17,271.44,264.85,248.93M,0.24%
2020년 05월 27일,267.64,266.71,269.17,265.86,247.18M,0.12%
2020년 05월 26일,267.31,263.48,267.31,262.95,175.42M,1.73%
2020년 05월 25일,262.76,260.95,262.82,259.16,125.43M,1.21%
2020년 05월 22일,259.62,263.82,264.07,258.34,166.03M,-1.56%
2020년 05월 21일,263.74,264.52,264.85,263.07,159.48M,0.39%
2020년 05월 20일,262.72,260.48,263.25,260.48,140.30M,0.36%
2020년 05월 19일,261.79,261.12,262.34,259.96,253.33M,2.49%
2020년 05월 18일,255.44,254.55,256.31,252.95,223.00M,0.65%
2020년 05월 15일,253.79,255.34,255.49,252.02,228.90M,0.06%
2020년 05월 14일,253.65,253.26,254.39,252.09,167.64M,-0.86%
2020년 05월 13일,255.85,250.03,255.85,249.95,141.25M,0.98%
2020년 05월 12일,253.37,255.33,255.56,250.98,166.80M,-0.62%
2020년 05월 11일,254.95,257.67,258.87,254.59,144.30M,-0.65%
2020년 05월 08일,256.62,256.66,258.29,256.23,125.22M,0.85%
2020년 05월 07일,254.46,253.88,256.14,253.37,114.36M,-0.21%
2020년 05월 06일,255,253.76,255.01,251.26,133.28M,1.76%
2020년 05월 04일,250.6,252.44,253.7,250.34,174.04M,-2.92%
2020년 04월 29일,258.15,256.58,259.67,256.04,184.48M,0.69%
2020년 04월 28일,256.39,255.91,257.34,253.22,172.42M,0.61%
2020년 04월 27일,254.84,251.18,255.79,250.61,151.36M,1.82%
2020년 04월 24일,250.28,252.47,252.86,249.19,154.31M,-1.36%
2020년 04월 23일,253.74,253.42,255.22,251.58,163.81M,0.74%
2020년 04월 22일,251.88,246.16,252.18,244.56,184.50M,0.99%
2020년 04월 21일,249.4,250.26,251.88,245.11,257.16M,-1.09%
2020년 04월 20일,252.14,253.85,255.93,251.46,211.00M,-1.13%
2020년 04월 17일,255.02,252.52,257.37,252.38,287.36M,3.21%
2020년 04월 16일,247.1,244.99,247.87,243.61,197.54M,-0.14%
2020년 04월 14일,247.45,246.2,248.55,244.58,193.12M,1.66%
2020년 04월 13일,243.4,246.59,246.9,243.39,195.90M,-1.85%
2020년 04월 10일,248,245.14,248.21,244.02,286.11M,0.97%
2020년 04월 09일,245.61,246.13,246.46,243.11,175.94M,1.54%
2020년 04월 08일,241.89,243.71,246.99,241.77,173.12M,-1.22%
2020년 04월 07일,244.87,245.65,247.39,240.68,224.45M,1.69%
2020년 04월 06일,240.81,234.4,241.19,233.75,190.74M,3.93%
2020년 04월 03일,231.7,232.48,234.45,229.23,181.04M,-0.06%
2020년 04월 02일,231.84,227.47,232.22,223.6,181.79M,2.43%
2020년 04월 01일,226.35,234.23,237.52,226.34,228.58M,-4.42%
2020년 03월 31일,236.82,235.2,237.47,232.5,240.44M,1.88%
2020년 03월 30일,232.45,227.05,234.7,225.09,167.23M,-0.57%
2020년 03월 27일,233.79,239.11,239.48,227.01,249.10M,1.94%
2020년 03월 26일,229.34,231.91,236.61,229.22,290.84M,-1.52%
2020년 03월 25일,232.89,228.37,233.42,224.74,306.11M,5.70%
2020년 03월 24일,220.34,207.65,220.34,205.41,225.73M,9.15%
2020년 03월 23일,201.87,200.8,206.66,198.67,210.30M,-5.52%
2020년 03월 20일,213.67,204.84,214.08,200.54,269.35M,7.22%
2020년 03월 19일,199.28,220.72,220.85,196.27,303.56M,-7.67%
2020년 03월 18일,215.83,228.63,230.04,215.81,208.04M,-4.87%
2020년 03월 17일,226.89,222.94,234.56,222.46,216.73M,-2.61%
2020년 03월 16일,232.97,245.21,245.21,232.76,175.05M,-3.19%
2020년 03월 13일,240.65,231.71,246.19,227.36,298.90M,-2.81%
2020년 03월 12일,247.62,253.93,255.49,243.76,242.47M,-3.65%
2020년 03월 11일,257.01,264.63,265.04,255.69,194.21M,-2.89%
2020년 03월 10일,264.67,261.94,265.57,260.75,173.09M,0.59%
2020년 03월 09일,263.11,266.39,267.75,261.76,182.67M,-4.36%
2020년 03월 06일,275.1,276.74,278.31,274,140.90M,-2.23%
2020년 03월 05일,281.38,280.66,282.05,277.91,147.44M,1.17%
2020년 03월 04일,278.13,270.13,278.9,270.13,208.46M,2.42%
2020년 03월 03일,271.56,277.44,277.54,270.79,146.72M,0.44%
2020년 03월 02일,270.37,269.59,272.6,265.7,163.72M,0.88%
2020년 02월 28일,268.02,272.33,273.98,267.23,202.61M,-3.27%
2020년 02월 27일,277.09,279.46,281.09,276.07,110.50M,-1.02%
2020년 02월 26일,279.94,278.45,281.98,277.68,119.55M,-1.51%
2020년 02월 25일,284.24,280.48,284.63,279.77,117.03M,1.15%
2020년 02월 24일,281.02,285.51,286.62,281.02,132.82M,-3.90%
2020년 02월 21일,292.42,292.16,295.24,291.96,100.71M,-1.43%
2020년 02월 20일,296.65,300.34,301.35,295.01,90.01M,-0.56%
2020년 02월 19일,298.33,299.68,300.38,295.53,84.26M,0.20%
2020년 02월 18일,297.74,300.26,301.29,297.2,84.75M,-1.66%
2020년 02월 17일,302.76,302.84,304.05,300.99,84.28M,-0.08%
2020년 02월 14일,303.01,300.95,304.2,299.18,80.53M,0.69%
2020년 02월 13일,300.93,302.79,304.43,300.48,115.07M,-0.20%
2020년 02월 12일,301.54,299.83,302.2,298.09,110.63M,0.76%
2020년 02월 11일,299.28,297.91,301.1,297.48,78.35M,1.03%
2020년 02월 10일,296.24,294.07,296.73,293.33,72.22M,-0.66%
2020년 02월 07일,298.21,299.59,300.05,296.01,108.11M,-0.81%
2020년 02월 06일,300.65,294.74,300.98,294.32,110.22M,2.96%
